paper_table,paper_row,comparison_tier,protocol,train_split,validation_split,eval_split,eval_denominator,seeds,seed_scope,output_mode,paper_metrics,artifact_metrics,numeric_match,method_code,evaluation_code,split_source,primary_result_artifact,per_seed_artifact,status,important_notes
I,MedRPG,controlled local,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,official-code compatibility wrapper; full model 3 seeds,one evaluated top-ranked box,mIoU=0.5698 +/- 0.0069; Hit@0.3=0.8078; Hit@0.5=0.6442,mIoU=0.5698 +/- 0.0069; Hit@0.3=0.8078; Hit@0.5=0.6442,True,linux_transfer\controlled_direct_baseline_2x3090ti_20260719_v1\scripts\run_medrpg_train_compat_wrapper_v2.py ; third_party\MedRPG,linux_transfer\controlled_direct_baseline_2x3090ti_20260719_v1\scripts\evaluate_controlled_direct_baseline_matrix_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\baseline_table_verified_refresh\20260724_v1\controlled_singlebox_888.csv,private per-seed artifact; aggregate values are in results/main,VERIFIED,official-code compatibility wrapper; full model 3 seeds
I,TransVG,controlled local,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,official architecture/code with local wrapper; full model 3 seeds,one evaluated top-ranked box,mIoU=0.5660 +/- 0.0078; Hit@0.3=0.8262; Hit@0.5=0.6483,mIoU=0.5660 +/- 0.0078; Hit@0.3=0.8262; Hit@0.5=0.6483,True,linux_transfer\controlled_direct_baseline_2x3090ti_20260719_v1\scripts\run_transvg_train_compat_wrapper_v2.py ; third_party\TransVG,linux_transfer\controlled_direct_baseline_2x3090ti_20260719_v1\scripts\evaluate_controlled_direct_baseline_matrix_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\baseline_table_verified_refresh\20260724_v1\controlled_singlebox_888.csv,private per-seed artifact; aggregate values are in results/main,VERIFIED,official architecture/code with local wrapper; full model 3 seeds
I,MedGrounder,external-initialization local,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,external Chest ImaGenome initialization; full model 3 seeds,one evaluated top-ranked box,mIoU=0.5462 +/- 0.0028; Hit@0.3=0.7955; Hit@0.5=0.6135,mIoU=0.5462 +/- 0.0028; Hit@0.3=0.7955; Hit@0.5=0.6135,True,scripts\run_medgrounder_faithful_v2.py ; third_party\MedGrounder,src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\baseline_table_verified_refresh\20260724_v1\controlled_singlebox_888.csv,experiments\baseline_table_verified_refresh\20260724_v1\medgrounder_independent_per_seed.csv,VERIFIED,external Chest ImaGenome initialization; full model 3 seeds
I,Grounding DINO-T,controlled local,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,architecture adaptation; full 3 seeds,one evaluated top-ranked box,mIoU=0.4740 +/- 0.0011; Hit@0.3=0.6646; Hit@0.5=0.5317,mIoU=0.4740 +/- 0.0011; Hit@0.3=0.6646; Hit@0.5=0.5317,True,scripts\run_grounding_dino_native_loss_correction_v2.py,src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\baseline_table_verified_refresh\20260724_v1\controlled_singlebox_888.csv,experiments\baseline_faithful_reproduction\20260712_v2\corrections\strict888_direct_3seed_v1\runs\grounding_dino_native,VERIFIED,architecture adaptation; full 3 seeds
I,GuideDecoder adaptation,controlled local,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,segmentation-to-box adaptation; full 3 seeds,one evaluated top-ranked box,mIoU=0.4228 +/- 0.0046; Hit@0.3=0.5971; Hit@0.5=0.4724,mIoU=0.4228 +/- 0.0046; Hit@0.3=0.5971; Hit@0.5=0.4724,True,scripts\run_fair_baseline_expansion_v1.py ; src\fair_baselines\models.py ; third_party\LanGuideMedSeg,src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\baseline_table_verified_refresh\20260724_v1\controlled_singlebox_888.csv,experiments\baseline_faithful_reproduction\20260712_v2\corrections\strict888_direct_3seed_v1\runs\guide_decoder,VERIFIED,segmentation-to-box adaptation; full 3 seeds
I,MDETR-style adaptation,controlled local,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,"local MDETR-inspired model, not an official MDETR reproduction; full 3 seeds",one evaluated top-ranked box,mIoU=0.4174 +/- 0.0069; Hit@0.3=0.6748; Hit@0.5=0.4029,mIoU=0.4174 +/- 0.0069; Hit@0.3=0.6748; Hit@0.5=0.4029,True,scripts\run_ms_cxr_mdetr_fair_baseline_v1.py,linux_transfer\controlled_direct_baseline_2x3090ti_20260719_v1\scripts\evaluate_controlled_direct_baseline_matrix_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\baseline_table_verified_refresh\20260724_v1\controlled_singlebox_888.csv,private per-seed artifact; aggregate values are in results/main,VERIFIED,"local MDETR-inspired model, not an official MDETR reproduction; full 3 seeds"
I,LViT,controlled local,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,segmentation-to-box adaptation; full 3 seeds,one evaluated top-ranked box,mIoU=0.3816 +/- 0.0033; Hit@0.3=0.5828; Hit@0.5=0.4192,mIoU=0.3816 +/- 0.0033; Hit@0.3=0.5828; Hit@0.5=0.4192,True,scripts\run_fair_baseline_expansion_v1.py ; src\fair_baselines\models.py ; third_party\LViT,src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\baseline_table_verified_refresh\20260724_v1\controlled_singlebox_888.csv,experiments\baseline_faithful_reproduction\20260712_v2\corrections\strict888_direct_3seed_v1\runs\lvit,VERIFIED,segmentation-to-box adaptation; full 3 seeds
I,ClueGround,controlled local - ours,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,YOLO/RAD-DINO upstream 13/42/2026; validation selected base for all seeds,variable-cardinality prediction saved; top-ranked box evaluated,mIoU=0.5486 +/- 0.0107; Hit@0.3=0.7730; Hit@0.5=0.6258,mIoU=0.5486 +/- 0.0107; Hit@0.3=0.7730; Hit@0.5=0.6258,True,scripts\run_clueground_finding_moe_singlebox_888_no_siglip_score_ablation_v1.py ; scripts\run_ms_cxr_singlebox_full_pipeline_3seed_v2.py ; scripts\run_ms_cxr_singlebox_fair_yolo_dino_fusion_v1.py,src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_finding_moe_singlebox_888_no_siglip_score_ablation_v1\FINAL_STATUS.json,experiments\clueground_finding_moe_singlebox_888_no_siglip_score_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). No SigLIP/BioMedCLIP in the selected result. All three validation runs selected the saved hybrid base.
II,MedGrounder,external-initialization local,canonical-1444,813 groups / 996 boxes,124 groups / 164 boxes,220 groups / 280 boxes,220 phrase groups / 280 GT boxes,13/42/2026,variable; external Chest ImaGenome initialization; seeds 13/42/2026,variable set,C-IoU=0.5337 +/- 0.0036; U-IoU=0.5301 +/- 0.0044; F1@0.3=0.8007; F1@0.5=0.6069,C-IoU=0.5337 +/- 0.0036; U-IoU=0.5301 +/- 0.0044; F1@0.3=0.8007; F1@0.5=0.6069,True,scripts\run_medgrounder_faithful_v2.py ; third_party\MedGrounder,src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\baseline_table_verified_refresh\20260724_v1\controlled_multibox_1444.csv,experiments\baseline_table_verified_refresh\20260724_v1\medgrounder_independent_per_seed.csv,VERIFIED,variable; external Chest ImaGenome initialization
II,Grounding DINO-T,controlled local,canonical-1444,813 groups / 996 boxes,124 groups / 164 boxes,220 groups / 280 boxes,220 phrase groups / 280 GT boxes,13/42/2026,variable architecture adaptation; seeds 13/42/2026,variable set,C-IoU=0.5255 +/- 0.0164; U-IoU=0.4653 +/- 0.0094; F1@0.3=0.6713; F1@0.5=0.5277,C-IoU=0.5255 +/- 0.0164; U-IoU=0.4653 +/- 0.0094; F1@0.3=0.6713; F1@0.5=0.5277,True,scripts\run_grounding_dino_native_loss_correction_v2.py,src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\baseline_table_verified_refresh\20260724_v1\controlled_multibox_1444.csv,experiments\baseline_faithful_reproduction\20260712_v2\corrections\grounding_dino_native,VERIFIED,variable architecture adaptation
